PointID,DirectionID,IntersectionX,IntersectionY,IntersectionZ,Parameter
5,73,245.48,314.85,2.41,93.92
5,83,235.10,349.88,2.88,125.19
5,93,213.36,424.78,3.97,198.20
5,143,104.71,317.77,3.13,141.85
5,153,83.69,301.47,3.25,149.75
5,163,103.65,266.54,2.75,116.76
5,173,113.42,244.23,2.52,101.49
5,183,121.14,226.60,2.38,92.23
5,193,127.76,211.51,2.30,86.93
5,223,176.51,195.68,1.72,48.11
5,233,190.31,199.14,1.54,35.86
5,243,201.32,205.75,1.36,24.08
5,253,206.74,208.43,1.29,19.35
5,263,210.48,210.27,1.25,16.59
5,273,213.36,211.69,1.22,14.92
5,283,215.78,212.88,1.21,13.93
5,293,217.96,213.96,1.20,13.46
5,303,220.06,215.00,1.20,13.41
5,313,222.21,216.06,1.21,13.77
5,323,224.55,217.21,1.22,14.61
5,333,227.29,218.56,1.24,16.09
5,343,230.76,220.27,1.28,18.52
5,353,235.63,222.68,1.34,22.62
5,4,271.79,226.60,2.17,58.45
5,14,269.59,236.52,2.14,57.11
5,24,308.30,261.16,3.02,101.05
5,34,384.75,325.56,4.96,197.94
5,44,265.04,269.97,2.35,67.48
5,54,256.26,277.73,2.33,66.75
5,64,251.79,293.16,2.54,76.87
5,74,245.48,314.85,2.88,93.93
5,84,235.10,349.88,3.50,125.20
5,144,104.71,317.77,3.84,141.86
5,154,83.69,301.47,3.99,149.76
5,164,103.65,266.54,3.34,116.77
5,174,113.42,244.23,3.03,101.50
5,184,121.14,226.60,2.84,92.23
5,194,127.76,211.51,2.74,86.94
5,224,176.51,195.68,1.96,48.12
5,234,190.31,199.14,1.72,35.86
5,244,201.32,205.75,1.48,24.08
5,254,206.74,208.43,1.39,19.35
5,264,210.48,210.27,1.33,16.59
5,274,213.36,211.69,1.30,14.92
5,284,215.78,212.88,1.28,13.94
5,294,217.96,213.96,1.27,13.46
5,304,220.06,215.00,1.27,13.41
5,314,222.21,216.06,1.28,13.77
5,324,224.55,217.21,1.29,14.62
5,334,227.29,218.56,1.32,16.09
5,344,230.76,220.27,1.37,18.52
5,354,235.63,222.68,1.45,22.62
5,5,271.79,226.60,2.46,58.45
5,15,269.59,236.52,2.43,57.12
5,25,308.30,261.16,3.53,101.06
5,35,384.75,325.56,5.95,197.97
5,45,265.04,269.97,2.69,67.49
5,55,256.26,277.73,2.67,66.76
5,65,251.79,293.16,2.92,76.88
5,75,245.48,314.85,3.35,93.94
5,85,235.10,349.88,4.13,125.21
5,145,104.71,317.77,4.55,141.88
5,155,83.69,301.47,4.74,149.78
5,165,103.65,266.54,3.92,116.79
5,175,113.42,244.23,3.54,101.51
5,185,121.14,226.60,3.31,92.25
5,195,127.76,211.51,3.17,86.95
5,225,176.51,195.68,2.20,48.12
5,235,190.31,199.14,1.90,35.87
5,245,201.32,205.75,1.60,24.09
5,255,206.74,208.43,1.48,19.35
5,265,210.48,210.27,1.41,16.59
5,275,213.36,211.69,1.37,14.92
5,285,215.78,212.88,1.35,13.94
5,295,217.96,213.96,1.34,13.46
5,305,220.06,215.00,1.34,13.41
5,315,222.21,216.06,1.34,13.77
5,325,224.55,217.21,1.37,14.62
5,335,227.29,218.56,1.40,16.09
5,345,230.76,220.27,1.46,18.52
5,355,235.63,222.68,1.57,22.62
6,1,280.28,246.98,1.13,25.31
6,11,294.81,254.00,1.20,40.46
6,21,325.67,272.71,1.38,75.23
6,41,297.69,282.82,1.28,55.77
6,51,275.72,271.70,1.16,32.28
6,61,267.58,268.83,1.13,25.23
6,71,263.58,270.63,1.13,25.17
6,81,259.47,272.48,1.13,25.89
6,91,254.97,282.22,1.18,35.24
6,101,239.01,337.49,1.46,91.91
6,151,98.73,337.18,1.90,180.41
6,161,95.37,305.07,1.85,169.84
6,171,100.27,274.26,1.79,157.09
6,181,112.22,246.98,1.71,142.75
6,191,122.45,223.61,1.67,134.56
6,211,106.53,161.28,1.86,171.40
6,221,212.28,211.16,1.28,55.72
6,231,233.84,221.79,1.16,32.88
6,241,242.38,225.17,1.13,25.18
6,251,246.88,224.76,1.12,23.64
