观测点id: 3, 交点id: 259, 射线角度：180, 最近交点坐标: (63.42, 185.86, 1.67)
观测点id: 3, 交点id: 260, 射线角度：220, 最近交点坐标: (92.77, 154.51, 1.49)
观测点id: 3, 交点id: 261, 射线角度：230, 最近交点坐标: (110.82, 162.84, 1.30)
观测点id: 3, 交点id: 262, 射线角度：240, 最近交点坐标: (113.63, 157.26, 1.33)
观测点id: 3, 交点id: 263, 射线角度：250, 最近交点坐标: (119.03, 155.33, 1.32)
观测点id: 3, 交点id: 264, 射线角度：260, 最近交点坐标: (123.06, 145.72, 1.41)
观测点id: 3, 交点id: 265, 射线角度：270, 最近交点坐标: (130.14, 172.89, 1.13)
观测点id: 3, 交点id: 266, 射线角度：280, 最近交点坐标: (132.24, 173.93, 1.12)
观测点id: 3, 交点id: 267, 射线角度：290, 最近交点坐标: (134.14, 174.86, 1.12)
观测点id: 3, 交点id: 268, 射线角度：300, 最近交点坐标: (135.97, 175.76, 1.12)
观测点id: 3, 交点id: 269, 射线角度：310, 最近交点坐标: (137.84, 176.68, 1.12)
观测点id: 3, 交点id: 270, 射线角度：320, 最近交点坐标: (139.88, 177.69, 1.13)
观测点id: 3, 交点id: 271, 射线角度：330, 最近交点坐标: (142.26, 178.86, 1.14)
观测点id: 3, 交点id: 272, 射线角度：340, 最近交点坐标: (145.28, 180.35, 1.16)
观测点id: 3, 交点id: 273, 射线角度：350, 最近交点坐标: (149.53, 182.44, 1.20)
观测点id: 3, 交点id: 274, 射线角度：0, 最近交点坐标: (156.48, 185.86, 1.40)
观测点id: 3, 交点id: 275, 射线角度：10, 最近交点坐标: (171.26, 193.11, 1.63)
观测点id: 3, 交点id: 276, 射线角度：20, 最近交点坐标: (269.64, 236.63, 3.23)
观测点id: 3, 交点id: 277, 射线角度：30, 最近交点坐标: (300.38, 284.15, 3.95)
观测点id: 3, 交点id: 278, 射线角度：40, 最近交点坐标: (253.01, 288.96, 3.41)
